Characteristics,Hypocotyl : Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol glands,Leaf: Nectaries,Leaf: Petiole pigmentation,Leaf: Shape,Plant: Stem hairiness,Plant: Stem pigmentation,Plant: Height (cm),Plant: Growth habit,Bract: Type,Flower: Time of flowering (50% of plants with at least one open flower),Flower: Petal colour,Flower: Petal spot,Flower: Stigma,Flower: Anther filament colouration,Flower: Pollen colour,Flower: Male sterility (Only for A and B lines),Boll: Bearing habit,Boll: Colour,Boll: Shape (longitudinal section),Boll: Surface,Boll: Prominence of tip,Boll: Opening,Boll: Weight of seed cotton/boll (g),Seed: Fuzz,Seed: Fuzz colour,Seed: Index (100 seed wt in gram),Ginning %,Fibre: Colour,Fibre: Length (2.5 % span length)(mm),Fibre: Strength (g/tex),Fibre: Fineness (Micronaire value),Fibre: Uniformity (%),GROUP
IC 358999 ,Present  ,              Light Green,medium,Flat,Present (11/Sq. cm leaf) ,Present ,Present,degitate,sparse,absent,53 cm   , SS,Normal,49 Days (Early)   ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.5 , Dense, Grey, 6.5, 34.61,white  ,23.9 , 19.0, 3.4, 49,MARKER
PIL-8 ,Present  ,              Light Green,Sparse,Flat,Present (174/Sq. cm leaf) ,,Present,Palmate,sparse,present,51 cm  , SS,Normal,52 Days (Medium)   ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,No proper boll set- , -, -, -, -,  white ,,,,,MARKER
BN RED,Present  (Red),               Green red,medium,Flat,Present (145/Sq. cm leaf) ,Present ,Present,Palmate,medium,present,71 cm , SS,Normal,53 Days (Medium)   ,biocolor,Absent,Embedded,Absent,bicolour,Absent,Solitary,red,Ovate,Smooth,blunt,Open,2.3 ,sparse ,grey ,6.0 ,31.91 ,white  ,23.3 , 17.5, 2.7, 47,MARKER
EC 176663 ,Present  ,               Light Green,Medium,Flat,Present (184/Sq. cm leaf) ,Present ,Present,Palmate,Medium,absent,59 cm , SS,Normal,50 Days (Medium)   ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,1.9 ,Dense  ,Green  ,6.0 ,34.21 ,Green ,20.9, 19.8, 2.8, 52,MARKER
BN- FERGO ,Present  ,              Green,Medium,Flat,Present (150/Sq. cm leaf) ,Present ,Present,Palmate,Medium,absent,60 cm  , SS,Normal,39 Days (Early)   ,Yellow,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.2 ,Medium  ,grey ,9.0 ,34.06 ,   White,26.5 , 17.1, 3.2, 44,MARKER
BN RED-NAKED ,Present  (Red),               Green+red,Medium,Flat,Present (187/Sq. cm leaf) ,Present ,Present,Palmate,Medium,present, 65 cm , SS,Normal,52 Days (Medium)   ,bicolour,Absent,Embedded,Absent,bicolour,Absent,Solitary,red,Ovate,Smooth,pointed,Open,2.3 ,Sparse  ,Grey  ,7.0 , 30.76, White ,21 .5, 19.3, 2.7, 52,MARKER
Ame. Nectareless ,Present  ,               Light Green,sparse,Flat,Present (140/Sq. cm leaf) ,Absent,absent,Palmate,Medium,absent,, SS,Normal,53 Days (Medium)   ,Yellow,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open, 2.6, Medium ,Grey  ,7.0 , 33.33,Lint sample not sufficient for analysis ,,,,,MARKER
IC 358794 ,Present  ,               Light Green,sparse,Flat,Present (134/Sq. cm leaf) ,Present ,absent,Palmate,Medium,absent, 65 cm  , SS,Normal,55 Days (Medium)   ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,1.8 ,  Medium , Grey,6.0 , 43.47, White ,23.2 , 18.5, 2.6, 47,MARKER
IC 356725  ,Present  ,               Light Green,Medium-dense,Flat,Present (135/Sq. cm leaf) ,Present ,Present-faint,Palmate,Medium-dense,absent,65 cm  , SS,Normal,56 Days (Medium)   ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.2 , Medium , Grey ,8.0 , 35.85, White ,25.1 , 20.9, 3.5, 50,BBR
IC 356785  ,Present (Faint Red) ,               Light Green,Medium-dense,Flat,Present (124/Sq. cm leaf) ,Present ,Present-faint,Palmate,dense,absent,62 cm  , SS,Normal,57 Days (Medium)   ,Yellow,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,round,Smooth,Blunt,Open,2.3 , Dense , White ,8.0 , 36.31, White , 22.8, 18.6, 2.8, 52,BBR
IC 356825 ,Present  ,Green,sparse,Flat,Present (120/Sq. cm leaf) ,Present ,Present-faint,Palmate,Medium,absent,, SS,Normal,52 Days (Medium)   ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.1 , Dense ,White  ,7.0 , 34.88, White ,No sufficient lint sample obtained ,,,,BBR
IC 356975 ,Present  ,               Light Green,sparse,Flat,Present (189/Sq. cm leaf) ,Present ,Present,Palmate,sparse,absent,72 cm  , SS,Normal,52 Days (Medium)   ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.3 , Medium , White ,7.0 ,32.65 , White ,25.6 ,17.7 , 2.3, 46,BBR
IC 357008 ,Present  ,               Light Green,sparse,Flat,Present (179/Sq. cm leaf) ,Present ,Present,Palmate,sparse,absent,85 cm  , SS,Normal,52 Days (Medium)   ,Yellow,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.2 , Medium ,Grey  ,6.5 , 37.14, White ,25.0 , 21.2, 2.7, 45,BBR
IC 357296 ,Present  ,               Light Green,Medium,Flat,Present (142/Sq. cm leaf) ,Present ,Present,Palmate,sparse,absent,, SS,Normal,48 Days (Early)   ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.8 , Dense ,White  ,7.5 , 33.33, White ,25.2 , 20.4, 2.4, 47,BBR
IC 357461 ,Present  (Dark),Green-red,sparse,cup,Present (144/Sq. cm leaf) ,Present ,Present,Palmate,sparse,present,78 cm  , SS,Normal,53 Days (Medium)   ,bicolour,Absent,Embedded,Absent,cream,Absent,Solitary,Green+red,Ovate,Smooth,pointed,Open,3.6 , Medium , Grey ,8.5 , 32.48,   White,28.7 , 19.3, 2.3, 43.0,BBR
IC 357554 ,Present  ,               Light Green,sparse,Flat,Present (129/Sq. cm leaf) ,Present ,absent,Palmate,sparse,absent,75 cm  , SS,Normal,52 Days (Medium)   ,Yellow,Absent,Embedded+exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.3 , Medium , Grey ,8.0 , 38.18,   White,25.2 , 21.3, 2.8, 49,BBR
IC 357555 ,Present  ,               Light Green,sparse,Flat,Present (226/Sq. cm leaf) ,Present ,absent,Palmate,Medium,absent, 80 cm , SS,Normal,52 Days (Medium)   ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,1.9 , Dense , White ,7.0 , 32.77,   White, 24.5, 19.0, 2.6, 44,BBR
 (Offtypes)–IC 357571 ,Present  ,               Light Green,Dense+sparse,Flat+cup,Present (160/Sq. cm leaf) ,Present ,absent,Palmate,Dense+sparse,absent,51 cm  , SS,Normal,39 Days (Early)   ,Yellow,Absent,Embedded+exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.9 , Medium , Grey ,9.0 , 37.58,   White,27.4 , 19.8, 3.6, 48,BBR
IC 358215 ,Present  ,               Green,Sparse-Medium,Flat,Present (183/Sq. cm leaf) ,Present-faint,Present,Palmate,Medium,absent,90 cm  , SS,Normal,56 Days (Medium)   ,Yellow,Absent,Exerted,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.1 , Medium , Grey ,7.0 , 44.26, White ,23.9 , 49, 2.9, 18.7,BBR
IC 358218 ,Present  ,               Light Green,sparse,Flat,Present (206/Sq. cm leaf) ,Present ,Present-faint,Palmate,sparse,absent,75 cm  , SS,Normal,56 Days (Medium)   ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green(Big boll size),round,Smooth,pointed,Open,2.8 , Medium , Grey , 7.5, 32.76, White ,25.2 ,25.2 , 2.7,48 ,BBR
IC 358382 ,Present  ,               Light Green,sparse,Flat,Present (191/Sq. cm leaf) ,Present ,absent,Palmate,Medium,absent,80 cm , SS,Normal,57 Days (Medium)   ,Cream ,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.6 , Medium , Grey ,8.0 , 40.77, White , 24.4, 21.2, 2.9, 50,BBR
IC 358449 ,Present  (faint Red),               Light Green,dense,cup,Present (129/Sq. cm leaf) ,Present ,Present,Palmate,dense,absent,52 cm  , SS,Normal,57 Days (Medium)    ,cream,Absent,Exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.5 ,Mediun  , Grey , 7.5, 34.28, White ,24.5 , 20.4, 2.3, 51,BBR
IC 358653 ,Present  ,               Light Green,sparse,Flat,Present (192/Sq. cm leaf) ,Present ,Present-faint,Palmate,Medium,absent,82 cm  , SS,Normal,57 Days (Medium)    ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.9 , Medium , Grey  ,6.0 , 37.5, White ,22.6 , 15.5, 3.5, 51,BBR
IC 358789 ,Present  ,               Light Green,sparse,Flat,Present (154/Sq. cm leaf) ,Present,Present,Palmate,Medium,absent,80 cm  , SS,Normal,34 Days (Early)    ,Yellow,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,2.9 , Sparse , Grey ,6.5 , 36.77, White ,24.0 , 18.7, 3.5, 50,BBR
IC 359059 ,Present  ,              Green,sparse,Flat,Present (130/Sq. cm leaf) ,Present ,Present-faint,Palmate,Medium,absent,90 cm  , SS,Normal,45 Days (Early)    ,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,round,Smooth,Blunt,Open,3.0 , Medium , Grey , 8.0, 37.13, White ,23.2 , 17.2, 3.1, 49,BBR
–KH-113,Present  ,               Green,sparse,Flat,Present (/178Sq. cm leaf)  ,Present ,Present-faint,Palmate,Medium,absent,72 cm  , SS,Normal,52 Days (Medium)    ,yellow,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,round,Smooth,Blunt,Open,2.5 , Dense , Grey ,7.5 , 42.59, White ,25.2 , 17.4, 2.8, 50,BBR
offtypes)  IC 356901                                                            ,Present  ,Green,sparse,Flat,Present (299/Sq. cm. leaf)   ,Present ,Present,Palmate,medium,absent,80 cm , SS,Normal,50 days (medium)   ,Yellow&Cream,Absent,Embeded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Pointed/blunt,Open,2.7 , Medium, Grey,6.5 , 31.1, White ,21.4 , 17.8, 3.5, 51,VARIETY
IC 357038 ,Present  ,              Green,sparse,Flat,Present (233/Sq. cm. leaf)   ,Present ,Present,Palmate,sparse,absent, 68 cm, SS,Normal,50 days (medium)  ,cream,Absent,Exerted,Absent,cream,Absent,Solitary,Green,round,Smooth,Blunt/pointed(offtype),Open,, Medium, White,7.0 , 37.8,White ,24.9 , 20.7, 3.2, 51,VARIETY
357981,Present  ,               Light Green,sparse,Flat,Present (252/Sq. cm. leaf)   ,Present ,absent,Palmate,medium,absent,68 cm , SS,Normal,52 days (medium) ,Yellow,Absent,Exerted,Absent,yellow,Absent,Solitary,Green,round,Smooth,blunt,Open,, Dense, Grey,8.0 , 35.7, White, 23.5, 18.6, 3.0, 50,VARIETY
358002,Present  ,               Light Green,sparse,Flat,Present (175/Sq. cm. leaf)   ,Present ,Present,Palmate,sparse,absent,62 cm , SS,Normal,48 Days (Early)     ,Yellow,Absent,embeded,Absent,Yellow/cream,Absent,Solitary,Green,Ovate,Smooth,Blunt/pointed,Open,, Medium, Grey,7.5 , 40.3,White ,23.3 , 20.3, 3.3, 51,VARIETY
358755,Present  ,Light Green,Sparse,Flat,Present (237/Sq. cm. leaf)   ,,Present,palmate,medium,Present,70 cm ,,Normal, 49 days,Yellow,absent,Exerted,Absent,Yellow,absent,solitary,green,round,smooth,blunt,open,2.4 , Medium, White,6.0 , 37.8, white, 24.5, 20.5, 3.2, 48,VARIETY
358773(,Present  ,Green,Sparse,Flat,Present (194/Sq. cm. leaf)   ,,Present,palmate,sparse,absent,60 cm ,,normal,56 days ,cream,absent,exerted,absent,yellow,absent,solitary,green,round,smooth,blunt,open, 2.6, Sparse, Grey,6.0 , 39.9,white ,22.8 , 20.2, 3.5, 51,VARIETY
358781(,Present  ,Light Green,Sparse,Flat,Present (202/Sq. cm. leaf)   ,,Absent,palmate,Medium,Absent,68 cm ,,Normal,44 days ,Cream,Absent,embeded,Absent,Cream,Absent,Solitary,Green,round,Smooth,Blunt,open, 2.6, Medium, White,8.0 , 34.6,Cream  ,23.3 , 17.2, 3.6, 48,VARIETY
358789,Present  ,Light Green,Sparse,Flat,Present (182/Sq. cm. leaf)   ,Present  ,Present,palmate,medium,absent,55 cm ,,normal,52 days ,Yellow,Absent,embeded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,open,2.9 , Medium, White,8.0 , 34.6,white ,24.5 , 20.4, 4.0, 51,VARIETY
358790,Present  ,Green,Sparse,cup,Present (158/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent,68 cm ,,Normal,50 days ,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,open,3.7 , Medium, White,8.0 , 41.9,white , 23.3, 19.7, 3.7, 51,VARIETY
358856,Present  ,Light Green,Sparse,Flat,Present (88/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,30 cm ,,normal,45 days ,Cream,Absent,Embedded,absent,Cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open, 2.6, Medium, Grey,7.5 , 34.9,white, 23.5, 19.2, 3.0, 51,VARIETY
358905,Present  ,Green,Sparse,Flat,Present (241/Sq. cm. leaf)   ,,Present-faint,palmate,Sparse,Absent,28 cm ,,normal,53 days ,Cream,Absent,embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.8 , Sparse, Grey,6.0 , 36.5,Cream ,23.6 , 19.5, 3.5, 51,VARIETY
359021,Present  ,Light Green,Sparse,Flat,Present (218/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent, 60 cm,,Normal, 50 days,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.6 , Medium, White,6.0 , 36.3,  white, 22.8, 18.5, 3.2, 52,VARIETY
359022,Present  ,Light Green,Sparse,Flat,Present (204/Sq. cm. leaf)   ,,Present,palmate,Medium,Absent,85 cm ,,Normal, 50 days,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,elliptic,Pitted,Pointed,Open,2.8 , Medium, White,9.5 , 34.4,white ,23.5 , 19.5, 4.0, 53,VARIETY
359023,Present  ,Light Green,Sparse,Flat,Present (117/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent,56 cm ,,Normal,52 days ,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,, Medium, Grey,7.5 , 35.8,white ,23.5 , 19.9, 3.6, 51,VARIETY
359026,Present  ,Light Green,Sparse,Flat,Present (259/Sq. cm. leaf)   ,,Present,palmate,medium,absent,60 cm ,,normal,48 days ,cream,absent,embeded,absent,cream,absent,solitary,green,ovate,smooth,blunt,open,,Sparse , Grey,7.0 , 31`.8,white ,21.7 , 19.2, 3.3, 51,VARIETY
359027,Present  ,Light Green,Sparse,Flat,Present (151/Sq. cm. leaf)   ,,Present-faint,Palmate,Medium,Absent,46 cm ,,Normal,50 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,, Medium, Grey,6.0 , 32.8,white ,22.2 , 17.9, 3.0, 50,VARIETY
359028(,Present  ,Light Green,Sparse,Flat,Present (359/Sq. cm. leaf)   ,,Absent,Palmate-big leaf,Sparse,Absent,64 cm ,,Normal,50 days ,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,,Medium , Grey,8.5 , 35.5,  white, 24.1, 17.8, 3.6, 51,VARIETY
359029(,Present  ,Light Green,Sparse,Flat,Present (351/Sq. cm. leaf)   ,,Present,palmate,medium,absent,68 cm ,,normal, 53 days,cream,absent,embedded,absent,cream,absent,solitary,green,ovate,smooth,Blunt,open,, Medium, Grey,7.5 , 34.5,  white, 29.3, 19.7, 2.8, 47,VARIETY
359031,Present  ,Light Green,Sparse,Flat,Present (224/Sq. cm. leaf)   ,,Present,palmate,Medium,Absent,75 cm ,,Normal,51 days ,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,, Medium, White,6.5 , 36.4,white , 23.5, 18.8, 3.4, 50,VARIETY
359032(,Present  ,Light Green,Medium,Flat,Present (145/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent, 70 cm,,Normal,43 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.8 , Dense, White,8.5 , 34.5,white , 24.9, 21.7, 4.3, 51,VARIETY
359034,Present  ,Green,Sparse,Flat,Present (213/Sq. cm. leaf)   ,,Present,palmate,medium,absent, 58 cm,,normal, 45 days,yellow,absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.3 , Medium, Grey,6.5 , 40.3,white , 26.0, 18.2, 3.5, 49,VARIETY
359035,Present  ,Light Green,Sparse,Flat,Present (122/Sq. cm. leaf)   ,,Present,palmate,Medium,Absent,55 cm ,,Normal,48 days ,Yellow,Absent,embeded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.1 , Medium, White,7.5 , 34.2,white ,26.1 , 20.4, 3.2, 46,VARIETY
-359036,Present  ,Light Green,medium,Flat,Present (217/Sq. cm. leaf)   ,,Present,palmate,medium,absent, 52 cm,,normal,56 days ,Yellow,Absent,Exerted,Absent,cream,absent,solitary,green,ovate,smooth,pointed,open,2.7 , Medium, grey,7.5 , 36.4,white ,25.5 , 20.4, 3.2, 47,VARIETY
