Characteristics,Hypocotyl : Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol glands,Leaf: Nectaries,Leaf: Petiole pigmentation,Leaf: Shape,Plant: Stem hairiness,Plant: Stem pigmentation,Plant: Height (cm),Plant: Growth habit,Bract: Type,Flower: Time of flowering (50% of plants with at least one open flower),Flower: Petal colour,Flower: Petal spot,Flower: Stigma,Flower: Anther filament colouration,Flower: Pollen colour,Flower: Male sterility (Only for A and B lines),Boll: Bearing habit,Boll: Colour,Boll: Shape (longitudinal section),Boll: Surface,Boll: Prominence of tip,Boll: Opening,Boll: Weight of seed cotton/boll (g),Seed: Fuzz,Seed: Fuzz colour,Seed: Index (100 seed wt in gram),Ginning %,Fibre: Colour,Fibre: Length (2.5 % span length)(mm),Fibre: Strength (g/tex),Fibre: Fineness (Micronaire value),Fibre: Uniformity (%),GROUP
-359037,Present  ,Light Green,Sparse,Flat,Present (126/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent, 50 cm,,normal,56 days ,Yellow,Absent,exerted,absent,Cream,absent,solitary,Green,Ovate,smooth,pointed,Open,2.8 , Medium, White,6.5 , 33.4,Cream ,25.5 , 21.4, 3.2, 49,VARIETY
359038(,Present  ,Green,Medium,Flat,Present (247/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent,,,Normal,41 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.5 , Medium, grey,8.5 , 38.1, Cream, 23.6, 18.8, 4.3, 54,VARIETY
359039,Present  ,Light Green,Sparse,Flat,Present (93/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent,70 cm ,,Normal,56 days ,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed/Blunt(offtype),Open,2.7 , Medium, White,9.0 , 37.6,  white,22.9 , 19.2, 3.2, 51,VARIETY
359040(,Present  ,Light Green,Sparse,Cup,Present (161/Sq. cm. leaf)   ,,Present,Palmate-Big Leaf,Medium,Absent,58 cm ,,Normal,52 days ,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.3 , Sparse, grey,7.0 , 34.5,white ,25.0 , 18.6, 3.2, 50,VARIETY
359042,Present  ,Light Green,Sparse,Flat,Present (214/Sq. cm. leaf)   ,,Present,palmate,sparse,absent,65 cm ,,normal,41 days ,Cream,Absent,embeded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,,Dense,Grey,8.5,35.5,white,24.1 , 18.5, 3.5, 52,VARIETY
-359043,Present  ,Light Green,Sparse,Flat,Present (169/Sq. cm. leaf)   ,,Present,palmate,Sparse,Absent,62 cm ,,Normal,56 days ,Cream,Absent,embedded,Absent,Cream,Absent,Solitary,Green,Elliptic,Smooth,Blunt,Open,, Dense, Brown,10.0 , 30.9,Brown,26.9 , 21.3, 3.1, 51,VARIETY
359044(,Present  ,Light Green,Sparse,Flat,Present (178/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent,56 cm ,,Normal,,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,,Dense , White,9.5 , 31.7,Cream ,31.7 , 21.4, 2.6, 45,VARIETY
359045(,Present  ,Light Green,Sparse,Flat,Present (180/Sq. cm. leaf)   ,,Present-faint,Palmate,Sparse,Present,65 cm ,,Normal,,Yellow,Absent,embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,smooth,pointed,open,, Dense, grey,8.0 , 31.4,white ,33.2 , 20.1, 2.7, 43,VARIETY
IC 359046 ,Present  ,Light Green,Sparse,Flat,Present (273/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,64 cm ,,Normal,43 days ,Cream,Absent,embeded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,1.4 , Medium, White,5.5 , 36.5,  White, 23.1, 20.0, 3.1, 51,VARIETY
IC 359047 ,Present  ,Light Green,Sparse,Flat,Present (213/Sq. cm. leaf)   ,,Present,palmate,Sparse,Absent,64 cm ,,Normal,50 days ,Yellow,Absent,embeded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.5 , Medium, Grey,7.5 , 37.2,  White, 27.5, 20.6, 2.8, 45,VARIETY
IC 359048 ,Present  ,Light Green,Sparse,Flat,Present (227/Sq. cm. leaf)   ,,Present,Palmate,Sparse-Medium,Absent,58 cm ,,Normal,37 days ,Cream,Absent,embeded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.8 , Medium, Grey,6.5 , 35,  White, 25.4, 21.9, 3.3, 49,VARIETY
