States/UTs,Crime Head,Year,Cases pending investigation from previous year,Cases reported Under 156_3 during the year,Cases reported in Police Stations during the year,Cases reported during the year,No of victims in the registered cases,No of cases withdrawn by the Govt during investigation,Cases not investigated Under 157_1_b CRPC,Cases transferred to other Police Station or Magistrate,Cases ended as final report false,Cases ended as mistake of fact or of law,Cases in ended as final report as Non Cognizable Submitted,Cases Chargesheeted Out of Cases During the Year,Cases Chargesheeted Out of Cases from Previous Year,Cases Chargesheeted,Cases Not Chargesheeted but final report Submitted,Total cases Investigated,Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,Cases withdrawn by the Govt,Cases disposed off by Plea Bargaining,Cases for Trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases  convicted Out of Cases During the Year,Cases  convicted Out of Cases from Previous Year,Cases convicted,Cases Acquitted Out of Cases During the Year,Cases Acquitted Out of Cases from Previous Year,Cases Acquitted or Discharged,Cases Pending Trial at the end of the year
Nagaland,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Nagaland,14.1 - Under ITP Section 5,2014,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Nagaland,14.2 - Under ITP Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,14.3 - Under ITP Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,14.4 - Under ITP Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,14.5 - Other Sections under ITP Act,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,15 - Total Crimes against Women,2014,23,0,67,67,71,0,0,0,0,0,0,30,16,46,8,54,36,29,46,0,0,75,1,27,9,13,22,0,5,5,47
Odisha,1 - Rape (Section 376 IPC),2014,890,31,1947,1978,1980,0,0,8,35,24,0,1216,445,1661,6,1726,1134,6134,1661,0,0,7795,0,761,5,136,141,55,565,620,7034
Odisha,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,1.2 - Rape other than Custodial,2014,890,31,1947,1978,1980,0,0,8,35,24,0,1216,445,1661,6,1726,1134,6134,1661,0,0,7795,0,761,5,136,141,55,565,620,7034
Odisha,1.2.1 - Rape_Gang Rape,2014,4,3,79,82,83,0,0,0,5,1,0,47,2,49,1,56,30,42,49,0,0,91,0,4,1,0,1,0,3,3,87
Odisha,1.2.2 - Rape_Others,2014,886,28,1868,1896,1897,0,0,8,30,23,0,1169,443,1612,5,1670,1104,6092,1612,0,0,7704,0,757,4,136,140,55,562,617,6947
Odisha,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0,0,33,33,33,0,0,0,1,2,0,14,0,14,0,17,16,0,14,0,0,14,0,3,0,1,1,0,2,2,11
Odisha,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,1180,16,2420,2436,2455,0,0,2,104,476,1,727,379,1106,69,1756,1858,3732,1106,0,0,4838,0,464,3,44,47,16,401,417,4374
Odisha,3.1 - Kidnaping & Abduction Section 363 IPC,2014,109,3,846,849,856,0,0,1,22,153,0,220,71,291,13,479,478,536,291,0,0,827,0,48,0,4,4,1,43,44,779
Odisha,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0,0,2,2,2,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2
Odisha,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,4,4,4,0,0,0,0,0,0,2,0,2,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2
Odisha,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,995,13,1300,1313,1313,0,0,0,48,291,1,437,285,722,50,1112,1196,3007,722,0,0,3729,0,349,0,39,39,2,308,310,3380
Odisha,3.5 - Kidnapping & Abduction of Women-Other,2014,76,0,268,268,280,0,0,1,34,32,0,66,23,89,6,161,182,189,89,0,0,278,0,67,3,1,4,13,50,63,211
Odisha,4 - Dowry Deaths (Section 304-B IPC),2014,422,1,440,441,441,0,0,0,11,8,0,242,224,466,0,485,378,1950,466,0,0,2416,0,373,1,40,41,9,323,332,2043
Odisha,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,1162,153,5390,5543,5580,0,0,0,206,171,3,3760,863,4623,90,5093,1612,21924,4623,0,0,26547,0,1774,0,65,65,110,1599,1709,24773
Odisha,5.1 - Sexual Harassment,2014,52,8,794,802,809,0,0,0,19,13,0,602,49,651,5,688,166,152,651,0,0,803,0,140,0,2,2,59,79,138,663
Odisha,5.2 - Assault on women with intent to Disrobe,2014,40,26,1116,1142,1152,0,0,0,33,27,1,787,30,817,30,908,274,86,817,0,0,903,0,28,0,0,0,16,12,28,875
Odisha,5.3 - Voyeurism,2014,0,1,27,28,28,0,0,0,2,0,0,23,0,23,0,25,3,0,23,0,0,23,0,0,0,0,0,0,0,0,23
Odisha,5.4 - Stalking,2014,1,1,133,134,139,0,0,0,5,4,0,93,1,94,1,104,31,1,94,0,0,95,0,6,0,0,0,6,0,6,89
Odisha,5.5 - Others,2014,1069,117,3320,3437,3452,0,0,0,147,127,2,2255,783,3038,54,3368,1138,21685,3038,0,0,24723,0,1600,0,63,63,29,1508,1537,23123
Odisha,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,113,9,370,379,384,0,0,0,13,8,0,297,63,360,7,388,104,1519,360,0,0,1879,0,104,1,4,5,17,82,99,1775
Odisha,6.1 - At Office premises,2014,0,0,8,8,8,0,0,0,0,0,0,6,0,6,0,6,2,58,6,0,0,64,0,0,0,0,0,0,0,0,64
Odisha,6.2 - Other places related to work,2014,3,0,10,10,10,0,0,0,0,0,0,9,1,10,0,10,3,28,10,0,0,38,0,0,0,0,0,0,0,0,38
Odisha,6.3 - In Public Transport system,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,6,1,0,0,7,0,0,0,0,0,0,0,0,7
Odisha,6.4 - in Other Places,2014,110,9,351,360,365,0,0,0,13,8,0,281,62,343,7,371,99,1427,343,0,0,1770,0,104,1,4,5,17,82,99,1666
Odisha,7 - Cruelty by Husband or his Relatives (Section 498A),2014,1546,199,2915,3114,3124,0,0,3,35,56,0,1742,1229,2971,16,3078,1579,10805,2971,0,0,13776,0,1602,2,97,99,77,1426,1503,12174
Odisha,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,4,0,0,0,0,4,4,13
Odisha,9 - Abetment of Suicides of Women u/s 306 IPC,2014,0,0,4,4,4,0,0,0,0,0,0,1,0,1,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Odisha,"10 - Dowry Prohibition Act, 1961",2014,982,58,588,646,646,0,0,0,81,40,0,400,554,954,23,1098,530,5969,954,0,0,6923,0,1325,2,27,29,3,1293,1296,5598
Odisha,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,5,0,4,0,0,0,0,4,4,1
Odisha,12 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,6,0,32,32,36,0,0,0,0,0,0,12,4,16,0,16,22,42,16,0,0,58,0,7,0,1,1,0,6,6,51
Odisha,14.1 - Under ITP Section 5,2014,0,0,7,7,7,0,0,0,0,0,0,4,0,4,0,4,3,16,4,0,0,20,0,0,0,0,0,0,0,0,20
Odisha,14.2 - Under ITP Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,14.3 - Under ITP Section 7,2014,0,0,1,1,5,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Odisha,14.4 - Under ITP Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,14.5 - Other Sections under ITP Act,2014,6,0,24,24,24,0,0,0,0,0,0,7,4,11,0,11,19,26,11,0,0,37,0,7,0,1,1,0,6,6,30
Odisha,15 - Total Crimes against Women,2014,6302,467,14139,14606,14683,0,0,13,486,785,4,8411,3761,12172,211,13658,7237,52097,12172,0,0,64269,0,6421,14,415,429,287,5705,5992,57848
Punjab,1 - Rape (Section 376 IPC),2014,256,0,981,981,983,0,0,0,115,6,0,597,200,797,18,936,301,477,797,0,0,1274,1,743,92,184,276,213,254,467,530
Punjab,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,1.2 - Rape other than Custodial,2014,256,0,981,981,983,0,0,0,115,6,0,597,200,797,18,936,301,477,797,0,0,1274,1,743,92,184,276,213,254,467,530
Punjab,1.2.1 - Rape_Gang Rape,2014,3,0,24,24,24,0,0,0,2,0,0,13,3,16,0,18,9,2,16,0,0,18,0,4,0,2,2,1,1,2,14
Punjab,1.2.2 - Rape_Others,2014,253,0,957,957,959,0,0,0,113,6,0,584,197,781,18,918,292,475,781,0,0,1256,1,739,92,182,274,212,253,465,516
Punjab,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,21,0,154,154,154,0,0,0,16,4,0,68,15,83,3,106,69,40,83,0,0,123,0,38,6,12,18,13,7,20,85
Punjab,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,528,0,1176,1176,1208,0,0,0,296,67,0,262,162,424,88,875,829,874,424,0,2,1296,4,287,17,50,67,63,157,220,1005
Punjab,3.1 - Kidnaping & Abduction Section 363 IPC,2014,41,0,86,86,89,0,0,0,7,1,0,20,5,25,3,36,91,46,25,0,0,71,0,17,2,1,3,13,1,14,54
Punjab,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Punjab,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,399,0,806,806,817,0,0,0,235,53,0,187,119,306,68,662,543,524,306,0,2,828,1,231,11,44,55,47,129,176,596
Punjab,3.5 - Kidnapping & Abduction of Women-Other,2014,87,0,283,283,301,0,0,0,54,13,0,54,38,92,17,176,194,304,92,0,0,396,3,39,4,5,9,3,27,30,354
Punjab,4 - Dowry Deaths (Section 304-B IPC),2014,88,0,90,90,90,0,0,0,8,1,0,42,38,80,0,89,89,186,80,0,0,266,0,85,3,35,38,10,37,47,181
Punjab,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,519,0,1113,1113,1114,0,0,0,137,73,0,421,244,665,26,901,731,893,665,0,4,1554,0,339,24,77,101,62,176,238,1215
Punjab,5.1 - Sexual Harassment,2014,128,0,344,344,344,0,0,0,33,38,0,117,74,191,8,270,202,165,191,0,4,352,0,49,3,9,12,12,25,37,303
Punjab,5.2 - Assault on women with intent to Disrobe,2014,3,0,41,41,41,0,0,0,2,3,0,24,3,27,0,32,12,6,27,0,0,33,0,6,0,1,1,3,2,5,27
Punjab,5.3 - Voyeurism,2014,56,0,48,48,48,0,0,0,2,0,0,10,0,10,0,12,92,54,10,0,0,64,0,8,2,0,2,6,0,6,56
Punjab,5.4 - Stalking,2014,3,0,48,48,48,0,0,0,6,1,0,17,2,19,2,28,23,4,19,0,0,23,0,3,1,0,1,2,0,2,20
Punjab,5.5 - Others,2014,329,0,632,632,633,0,0,0,94,31,0,253,165,418,16,559,402,664,418,0,0,1082,0,273,18,67,85,39,149,188,809
Punjab,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,22,0,35,35,35,0,0,0,1,2,0,15,8,23,0,26,31,11,23,0,0,34,0,8,2,1,3,2,3,5,26
Punjab,6.1 - At Office premises,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,6.2 - Other places related to work,2014,0,0,3,3,3,0,0,0,0,0,0,3,0,3,0,3,0,5,3,0,0,8,0,1,0,0,0,1,0,1,7
Punjab,6.3 - In Public Transport system,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,6.4 - in Other Places,2014,22,0,32,32,32,0,0,0,1,2,0,12,8,20,0,23,31,6,20,0,0,26,0,7,2,1,3,1,3,4,19
Punjab,7 - Cruelty by Husband or his Relatives (Section 498A),2014,1384,0,1681,1681,1682,0,0,0,189,53,0,411,547,958,102,1302,1763,3576,958,0,9,4525,5,516,17,85,102,52,362,414,4004
Punjab,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,9 - Abetment of Suicides of Women u/s 306 IPC,2014,22,0,124,124,124,0,0,0,9,2,0,64,17,81,2,94,52,68,81,0,0,149,0,50,3,16,19,6,25,31,99
Punjab,"10 - Dowry Prohibition Act, 1961",2014,2,0,5,5,5,0,0,0,1,0,0,1,0,1,0,2,5,7,1,0,0,8,0,3,0,1,1,0,2,2,5
Punjab,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,4
Punjab,12 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,"13 - Protection of Women from Domestic Violence Act, 2005",2014,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,49,0,63,63,91,0,0,0,1,0,0,24,22,46,0,47,65,179,46,0,0,225,0,46,3,9,12,0,34,34,179
Punjab,14.1 - Under ITP Section 5,2014,20,0,33,33,39,0,0,0,0,0,0,11,14,25,0,25,28,51,25,0,0,76,0,21,3,3,6,0,15,15,55
Punjab,14.2 - Under ITP Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,14.3 - Under ITP Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,14.4 - Under ITP Section 8,2014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,14.5 - Other Sections under ITP Act,2014,29,0,29,29,51,0,0,0,1,0,0,13,8,21,0,22,36,128,21,0,0,149,0,25,0,6,6,0,19,19,124
Punjab,15 - Total Crimes against Women,2014,2892,0,5425,5425,5489,0,0,0,773,208,0,1905,1253,3158,239,4378,3939,6315,3158,0,15,9458,10,2115,167,470,637,421,1057,1478,7333
Rajasthan,1 - Rape (Section 376 IPC),2014,497,1209,2550,3759,3770,0,0,7,1585,88,3,1834,245,2079,9,3764,485,4622,2079,0,4,6697,48,957,37,325,362,59,536,595,5692
Rajasthan,1.1 - Custodial Rape,2014,0,1,2,3,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,1.1.1 - Custodial_Gang Rape,2014,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,1.1.2 - Custodial_Other Rape,2014,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,1.2 - Rape other than Custodial,2014,497,1208,2548,3756,3767,0,0,7,1583,88,3,1834,245,2079,9,3762,484,4622,2079,0,4,6697,48,957,37,325,362,59,536,595,5692
Rajasthan,1.2.1 - Rape_Gang Rape,2014,66,105,309,414,416,0,0,0,230,4,0,133,22,155,0,389,91,194,155,0,0,349,0,38,0,18,18,1,19,20,311
Rajasthan,1.2.2 - Rape_Others,2014,431,1103,2239,3342,3351,0,0,7,1353,84,3,1701,223,1924,9,3373,393,4428,1924,0,4,6348,48,919,37,307,344,58,517,575,5381
Rajasthan,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,25,156,217,373,373,0,0,0,154,6,4,189,16,205,0,369,29,162,205,0,0,367,0,61,1,23,24,3,34,37,306
Rajasthan,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,759,843,3578,4421,4452,0,0,4,1538,1351,27,1144,235,1379,147,4442,734,5077,1379,0,10,6446,35,676,31,212,243,29,404,433,5735
Rajasthan,3.1 - Kidnaping & Abduction Section 363 IPC,2014,157,96,961,1057,1059,0,0,1,275,422,1,282,36,318,27,1043,170,1006,318,0,3,1321,5,100,0,41,41,0,59,59,1216
Rajasthan,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,27,13,75,88,88,0,0,0,34,34,0,30,0,30,2,100,15,167,30,0,0,197,0,17,9,0,9,8,0,8,180
Rajasthan,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,341,554,1806,2360,2365,0,0,2,888,651,7,629,124,753,70,2369,330,3219,753,0,7,3965,6,399,22,125,147,19,233,252,3560
Rajasthan,3.5 - Kidnapping & Abduction of Women-Other,2014,234,180,736,916,940,0,0,1,341,244,19,203,75,278,48,930,219,685,278,0,0,963,24,160,0,46,46,2,112,114,779
Rajasthan,4 - Dowry Deaths (Section 304-B IPC),2014,91,37,371,408,410,0,0,1,88,26,2,258,61,319,0,435,63,1981,319,0,4,2296,10,339,8,126,134,4,201,205,1947
Rajasthan,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,244,1705,4294,5999,6015,0,0,1,2152,285,45,3348,149,3497,22,6001,241,10258,3497,3,93,13659,375,1909,108,859,967,91,851,942,11375
Rajasthan,5.1 - Sexual Harassment,2014,23,246,481,727,727,0,0,0,220,34,10,436,22,458,5,727,23,579,458,0,7,1030,68,180,0,95,95,0,85,85,782
Rajasthan,5.2 - Assault on women with intent to Disrobe,2014,5,59,176,235,239,0,0,0,78,11,4,133,4,137,0,230,10,71,137,0,4,204,0,18,1,3,4,1,13,14,186
Rajasthan,5.3 - Voyeurism,2014,0,4,19,23,23,0,0,0,7,2,0,13,0,13,0,22,1,7,13,0,0,20,0,3,0,3,3,0,0,0,17
Rajasthan,5.4 - Stalking,2014,5,7,81,88,88,0,0,0,10,13,0,54,5,59,0,82,11,65,59,0,0,124,0,0,0,0,0,0,0,0,124
Rajasthan,5.5 - Others,2014,211,1389,3537,4926,4938,0,0,1,1837,225,31,2712,118,2830,17,4940,196,9536,2830,3,82,12281,307,1708,107,758,865,90,753,843,10266
Rajasthan,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,0,1,17,18,18,0,0,0,2,5,0,10,0,10,1,18,0,94,10,0,0,104,0,14,0,5,5,1,8,9,90
Rajasthan,6.1 - At Office premises,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,6.2 - Other places related to work,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,6.3 - In Public Transport system,2014,0,0,2,2,2,0,0,0,0,0,0,1,0,1,1,2,0,5,1,0,0,6,0,1,0,0,0,0,1,1,5
Rajasthan,6.4 - in Other Places,2014,0,1,15,16,16,0,0,0,2,5,0,9,0,9,0,16,0,89,9,0,0,98,0,13,0,5,5,1,7,8,85
Rajasthan,7 - Cruelty by Husband or his Relatives (Section 498A),2014,1239,11411,4494,15905,15956,0,0,18,5098,2106,56,8012,727,8739,5,16004,1122,30287,8739,0,355,38671,1005,4858,147,1664,1811,216,2831,3047,32808
Rajasthan,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1,1,0,1,1,0
Rajasthan,9 - Abetment of Suicides of Women u/s 306 IPC,2014,13,4,139,143,143,0,0,0,30,8,0,92,4,96,2,136,20,80,96,0,0,176,0,19,3,6,9,3,7,10,157
Rajasthan,"10 - Dowry Prohibition Act, 1961",2014,3,2,10,12,12,0,0,0,6,4,0,3,0,3,0,13,2,38,3,0,0,41,0,3,0,2,2,0,1,1,38
Rajasthan,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,3,0,18,18,18,0,0,0,0,1,0,18,2,20,0,21,0,627,20,0,0,647,0,133,1,74,75,0,58,58,514
Rajasthan,12 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
Rajasthan,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0,9,8,17,17,0,0,0,5,1,0,11,0,11,0,17,0,10,11,0,0,21,0,0,0,0,0,0,0,0,21
Rajasthan,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,7,0,78,78,102,0,0,0,0,0,0,61,3,64,0,64,21,429,64,0,1,492,0,32,1,25,26,0,6,6,460
Rajasthan,14.1 - Under ITP Section 5,2014,2,0,18,18,20,0,0,0,0,0,0,13,0,13,0,13,7,119,13,0,0,132,0,7,0,6,6,0,1,1,125
Rajasthan,14.2 - Under ITP Section 6,2014,0,0,8,8,8,0,0,0,0,0,0,7,0,7,0,7,1,21,7,0,0,28,0,0,0,0,0,0,0,0,28
Rajasthan,14.3 - Under ITP Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,14.4 - Under ITP Section 8,2014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,14.5 - Other Sections under ITP Act,2014,5,0,51,51,73,0,0,0,0,0,0,41,3,44,0,44,12,289,44,0,1,332,0,25,1,19,20,0,5,5,307
Rajasthan,15 - Total Crimes against Women,2014,2881,15377,15774,31151,31286,0,0,31,10658,3881,137,14980,1442,16422,186,31284,2717,53668,16422,3,467,69620,1473,9004,337,3322,3659,406,4939,5345,59143
Sikkim,1 - Rape (Section 376 IPC),2014,5,0,47,47,54,0,0,0,0,0,0,38,5,43,1,44,8,68,43,0,0,111,0,39,2,20,22,2,15,17,72
Sikkim,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,1.2 - Rape other than Custodial,2014,5,0,47,47,54,0,0,0,0,0,0,38,5,43,1,44,8,68,43,0,0,111,0,39,2,20,22,2,15,17,72
Sikkim,1.2.1 - Rape_Gang Rape,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Sikkim,1.2.2 - Rape_Others,2014,5,0,46,46,53,0,0,0,0,0,0,37,5,42,1,43,8,68,42,0,0,110,0,39,2,20,22,2,15,17,71
Sikkim,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0,0,9,9,9,0,0,0,0,0,0,8,0,8,0,8,1,0,8,0,0,8,0,2,0,0,0,2,0,2,6
Sikkim,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,6,0,12,12,15,0,0,0,0,0,0,6,6,12,0,12,6,8,12,0,0,20,0,8,0,2,2,0,6,6,12
Sikkim,3.1 - Kidnaping & Abduction Section 363 IPC,2014,0,0,9,9,11,0,0,0,0,0,0,5,0,5,0,5,4,0,5,0,0,5,0,0,0,0,0,0,0,0,5
Sikkim,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,3.5 - Kidnapping & Abduction of Women-Other,2014,6,0,3,3,4,0,0,0,0,0,0,1,6,7,0,7,2,8,7,0,0,15,0,8,0,2,2,0,6,6,7
Sikkim,4 - Dowry Deaths (Section 304-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,8,0,34,34,39,0,0,0,0,0,0,27,8,35,2,37,5,22,35,0,0,57,1,26,2,16,18,2,6,8,30
Sikkim,5.1 - Sexual Harassment,2014,0,0,14,14,18,0,0,0,0,0,0,14,0,14,0,14,0,0,14,0,0,14,1,1,1,0,1,0,0,0,12
Sikkim,5.2 - Assault on women with intent to Disrobe,2014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
